x,y,z,C,R,G,B
-5.368345616,-3.781945847,-0.236201411,1,1,0,0
-6.74735256,-4.737991468,0.911972921,1,1,0,0
-5.362817043,-3.759764115,0.243477892,1,1,0,0
-5.163929783,-3.907225117,0.178616003,1,1,0,0
-5.312205114,-3.721377916,0.00441488,1,1,0,0
-5.1186517,-3.87128066,-0.057575058,1,1,0,0
-5.366823432,-3.756289534,-0.235626271,1,1,0,0
-6.624907904,-4.621728504,0.893502573,1,1,0,0
-6.765267728,-5.093322313,0.852257227,1,1,0,0
-7.397082195,-5.155623012,0.665136562,1,1,0,0
-5.398926765,-3.760427891,0.24459238,1,1,0,0
-5.164706591,-3.882954208,0.178229973,1,1,0,0
-5.049634184,-4.092726066,0.1174287,1,1,0,0
-5.340833693,-3.717058863,0.004429174,1,1,0,0
-5.13050446,-3.855558436,-0.057575058,1,1,0,0
-5.375861007,-3.738095103,-0.235518431,1,1,0,0
-6.625168432,-4.591756695,0.891633551,1,1,0,0
-6.81671446,-5.099362426,0.856763338,1,1,0,0
-5.452347788,-3.772846746,0.246487003,1,1,0,0
-5.17499361,-3.865894405,0.178174839,1,1,0,0
-5.043478487,-4.062162508,0.116995187,1,1,0,0
-5.375243173,-3.716579873,0.004448233,1,1,0,0
-5.144712972,-3.841595156,-0.05760197,1,1,0,0
-5.37743724,-3.714768562,-0.235087087,1,1,0,0
-6.637587557,-4.570282444,0.89141367,1,1,0,0
-5.44989753,-3.74647761,0.245855462,1,1,0,0
-5.200474747,-3.860127901,0.17864357,1,1,0,0
-5.035621587,-4.03042633,0.116525547,1,1,0,0
-5.403929865,-3.711961542,0.004462527,1,1,0,0
-5.161292973,-3.829368172,-0.057655796,1,1,0,0
-5.388808394,-3.698253248,-0.235087087,1,1,0,0
-6.6433736,-4.544285237,0.890314202,1,1,0,0
-7.174149802,-4.9027598,0.641005978,1,1,0,0
-5.480346381,-3.74270206,0.246709895,1,1,0,0
-5.207466225,-3.840594999,0.178478137,1,1,0,0
-5.066743405,-4.029895267,0.11695906,1,1,0,0
-5.426856573,-3.703256326,0.004472057,1,1,0,0
-5.180260681,-3.818855775,-0.057736531,1,1,0,0
-5.412515055,-3.690147521,-0.235626271,1,1,0,0
-6.653995928,-4.521647667,0.88987444,1,1,0,0
-5.510823103,-3.738774954,0.247564328,1,1,0,0
-5.245026483,-3.843507899,0.179360465,1,1,0,0
-5.104184424,-4.034171119,0.117537083,1,1,0,0
-5.440675901,-3.688272917,0.004474099,1,1,0,0
-5.196792882,-3.806490281,-0.057790358,1,1,0,0
-5.45359788,-3.693699819,-0.236920332,1,1,0,0
-5.136167041,-3.758503965,-0.288230029,1,1,0,0
-5.40757888,-3.658402121,-0.473606,1,1,0,0
-6.668660614,-4.501768431,0.88998441,1,1,0,0
-7.083381833,-4.777233665,0.630264924,1,1,0,0
-5.555414417,-3.744190357,0.249050301,1,1,0,0
-5.267299054,-3.835047393,0.179718912,1,1,0,0
-5.085870932,-3.994407648,0.116832616,1,1,0,0
-5.441182631,-3.664302154,0.00446525,1,1,0,0
-5.210871945,-3.792294085,-0.057817269,1,1,0,0
-5.459929499,-3.6736037,-0.236704653,1,1,0,0
-5.161409771,-3.7527156,-0.288999137,1,1,0,0
-5.444438803,-3.659041355,-0.475848863,1,1,0,0
-6.66593049,-4.470216528,0.887785536,1,1,0,0
-7.099661559,-4.75658985,0.630412028,1,1,0,0
-5.596768704,-3.74714344,0.250387681,1,1,0,0
-5.283089211,-3.821798843,0.179856763,1,1,0,0
-5.115442065,-3.992318994,0.117230007,1,1,0,0
-5.488969888,-3.672057111,0.0044952,1,1,0,0
-5.216810152,-3.772188089,-0.057754476,1,1,0,0
-5.478651949,-3.661833468,-0.237028172,1,1,0,0
-5.225534468,-3.774886693,-0.291939792,1,1,0,0
-5.439878476,-3.631798568,-0.474474201,1,1,0,0
-6.649834352,-4.429906393,0.883827608,1,1,0,0
-6.674424097,-4.803886446,0.82762376,1,1,0,0
-6.979724379,-4.645272902,0.618493841,1,1,0,0
-5.870896796,-4.556935101,0.406399994,1,1,0,0
-5.413751365,-4.523434246,0.318875869,1,1,0,0
-5.632369211,-3.746003909,0.251465034,1,1,0,0
-5.290731358,-3.802655512,0.179718912,1,1,0,0
-5.139517803,-3.985797107,0.117500955,1,1,0,0
-5.506873025,-3.659627863,0.004500645,1,1,0,0
-5.231606755,-3.758499,-0.057790358,1,1,0,0
-5.024852711,-3.89378309,-0.116066118,1,1,0,0
-5.514004792,-3.661038664,-0.238070598,1,1,0,0
-5.245206688,-3.764662058,-0.292392191,1,1,0,0
-5.450163742,-3.614541051,-0.474401841,1,1,0,0
-6.734677708,-4.456656541,0.893282692,1,1,0,0
-6.771682784,-4.842419765,0.837837612,1,1,0,0
-5.905406596,-4.554757458,0.407819627,1,1,0,0
-5.449123599,-4.524672499,0.320140173,1,1,0,0
-5.649671317,-3.732562276,0.251725089,1,1,0,0
-5.306439885,-3.789310617,0.179856763,1,1,0,0
-5.113707477,-3.940715694,0.116633924,1,1,0,0
-5.512232708,-3.638859272,0.004495881,1,1,0,0
-5.26020465,-3.754630717,-0.057978745,1,1,0,0
-5.110449329,-3.935078212,-0.117763845,1,1,0,0
-5.479327166,-3.613842427,-0.236093571,1,1,0,0
-5.31448018,-3.789732537,-0.295604315,1,1,0,0
-5.452898508,-3.592316149,-0.47367833,1,1,0,0
-6.607123226,-4.343159648,0.874592464,1,1,0,0
-5.882896375,-4.508678751,0.405307948,1,1,0,0
-5.437552305,-4.486951666,0.318650116,1,1,0,0
-5.669450813,-3.720694748,0.252096575,1,1,0,0
-5.318040646,-3.773012786,0.179856763,1,1,0,0
-5.840305989,-3.829759953,0.004753857,1,1,0,0
-5.271699068,-3.738475161,-0.057978745,1,1,0,0
-5.124085671,-3.920596396,-0.117800353,1,1,0,0
-5.503763269,-3.605777651,-0.236668711,1,1,0,0
-5.325266926,-3.772832631,-0.295559075,1,1,0,0
-5.476412628,-3.583761993,-0.474763582,1,1,0,0
-6.676176548,-4.359277407,0.881958585,1,1,0,0
-5.890346463,-4.485769004,0.404871135,1,1,0,0
-5.423483945,-4.447444075,0.317024579,1,1,0,0
-5.70176754,-3.716926832,0.253025305,1,1,0,0
-5.323054578,-3.752072089,0.179636181,1,1,0,0
-6.0313427,-3.928624202,0.004899523,1,1,0,0
-5.3035799,-3.736682523,-0.058203019,1,1,0,0
-5.141661325,-3.909093296,-0.117928138,1,1,0,0
-5.513962193,-3.588330211,-0.236632755,1,1,0,0
-5.343351863,-3.761077181,-0.295920994,1,1,0,0
-5.532538345,-3.596296728,-0.478670517,1,1,0,0
-7.253809268,-4.700274162,0.637621805,1,1,0,0
-5.897710899,-4.462856759,0.404434322,1,1,0,0
-5.325588234,-4.339909394,0.310522427,1,1,0,0
-5.724048976,-3.706477536,0.253508252,1,1,0,0
-5.341909865,-3.740884238,0.179884345,1,1,0,0
-6.038329553,-3.906842274,0.004895439,1,1,0,0
-5.333860671,-3.733582729,-0.058409348,1,1,0,0
-5.15522552,-3.894505909,-0.117964653,1,1,0,0
-5.536695013,-3.578992153,-0.237136011,1,1,0,0
-5.345041905,-3.737796439,-0.295378115,1,1,0,0
-5.537680382,-3.575519194,-0.478164057,1,1,0,0
-6.632612722,-4.273014029,0.872723441,1,1,0,0
-7.229619722,-4.653169109,0.634237633,1,1,0,0
-7.404427832,-5.157215385,0.579091515,1,1,0,0
-5.864288278,-4.409337197,0.40121284,1,1,0,0
-5.406419329,-4.378246775,0.31445082,1,1,0,0
-5.748000053,-3.697007471,0.254065495,1,1,0,0
-5.366490735,-3.733612034,0.180325509,1,1,0,0
-6.054493372,-3.891001785,0.004898842,1,1,0,0
-5.360067545,-3.727477528,-0.058570825,1,1,0,0
-5.164750597,-3.87687072,-0.117909884,1,1,0,0
-5.58128628,-3.583586612,-0.238573854,1,1,0,0
-5.331871522,-3.704281191,-0.294020858,1,1,0,0
-5.65020972,-3.623663745,-0.486918459,1,1,0,0
-5.87138889,-4.386544428,0.400776027,1,1,0,0
-5.379356627,-4.329071592,0.312102815,1,1,0,0
-5.799737615,-3.70517924,0.255848658,1,1,0,0
-5.406701101,-3.737023218,0.181290553,1,1,0,0
-6.085788899,-3.884783916,0.004914498,1,1,0,0
-5.378882221,-3.71613102,-0.058651563,1,1,0,0
-5.181429361,-3.864593882,-0.118019415,1,1,0,0
-5.834919847,-3.72120558,-0.248926302,1,1,0,0
-5.333345012,-3.681096235,-0.293477979,1,1,0,0
-5.696631056,-3.628817904,-0.489957163,1,1,0,0
-5.867982563,-4.356012016,0.399629383,1,1,0,0
-5.419919111,-4.334384529,0.313683202,1,1,0,0
-5.821202933,-3.693793573,0.256294471,1,1,0,0
-5.417316777,-3.719852289,0.181262971,1,1,0,0
-5.159678592,-3.82686185,0.1160559,1,1,0,0
-5.04769197,-4.035843323,0.05606121,1,1,0,0
-6.101057208,-3.868236612,0.00491722,1,1,0,0
-5.391906867,-3.700742933,-0.058669504,1,1,0,0
-5.191654791,-3.847488717,-0.117982907,1,1,0,0
-5.86910318,-3.71772561,-0.249896845,1,1,0,0
-5.370978221,-3.682794161,-0.294925687,1,1,0,0
-5.79117885,-3.664117983,-0.497119854,1,1,0,0
-8.127487148,-5.125887424,0.708836482,1,1,0,0
-5.865247329,-4.326134658,0.398537366,1,1,0,0
-5.405818089,-4.295982862,0.312102815,1,1,0,0
-5.843498182,-3.68284354,0.256777417,1,1,0,0
-5.444393085,-3.71391763,0.181786865,1,1,0,0
-5.188297574,-3.823470306,0.116435231,1,1,0,0
-5.080406099,-4.036511694,0.056286739,1,1,0,0
-6.011352919,-3.785555371,0.004835539,1,1,0,0
-5.399930656,-3.681930046,-0.058633618,1,1,0,0
-5.194578117,-3.825021643,-0.117782099,1,1,0,0
-5.864409742,-3.689590574,-0.249213865,1,1,0,0
-5.405369151,-3.682046229,-0.296192434,1,1,0,0
-5.858972974,-3.681889334,-0.501967379,1,1,0,0
-7.032770284,-4.771260852,0.545404042,1,1,0,0
-5.855136082,-4.291003391,0.396953909,1,1,0,0
-5.35860469,-4.231705078,0.308625986,1,1,0,0
-5.901357138,-3.694060753,0.258820635,1,1,0,0
-5.497964581,-3.725796501,0.183193073,1,1,0,0
-5.245178878,-3.84061316,0.117446767,1,1,0,0
-5.103753862,-4.029581119,0.056408176,1,1,0,0
-6.02293862,-3.767095071,0.004835539,1,1,0,0
-5.392987219,-3.653008526,-0.05843626,1,1,0,0
-5.193377937,-3.799620952,-0.117490014,1,1,0,0
-5.874006876,-3.670522397,-0.249141982,1,1,0,0
-5.419121829,-3.667125104,-0.296328154,1,1,0,0
-5.829628458,-3.638548548,-0.498494516,1,1,0,0
-8.143544221,-5.066438866,0.707512246,1,1,0,0
-6.960482967,-4.691100155,0.538679386,1,1,0,0
-5.850514844,-4.260089153,0.395752667,1,1,0,0
-5.356630419,-4.203528073,0.307768037,1,1,0,0
-5.918603167,-3.679631783,0.25908069,1,1,0,0
-5.509369581,-3.70891144,0.183193073,1,1,0,0
-5.267447712,-3.832149739,0.117681587,1,1,0,0
-5.121599562,-4.018224931,0.056468895,1,1,0,0
-6.077788955,-3.775510537,0.004870254,1,1,0,0
-5.401679965,-3.634771095,-0.058409348,1,1,0,0
-5.200966532,-3.78073063,-0.117398744,1,1,0,0
-5.929394449,-3.679886858,-0.251011183,1,1,0,0
-5.442782917,-3.658842109,-0.297006782,1,1,0,0
-5.932317056,-3.677399734,-0.506308386,1,1,0,0
-7.399005057,-4.955200954,0.896216904,1,1,0,0
-8.185349879,-5.057681757,0.709792898,1,1,0,0
-7.004695292,-4.689710878,0.540984954,1,1,0,0
-5.82391684,-4.213441077,0.393077194,1,1,0,0
-5.925612698,-3.658831347,0.258894932,1,1,0,0
-5.285662187,-3.820657087,0.117826091,1,1,0,0
-6.089343673,-3.756846453,0.004870254,1,1,0,0
-5.455203727,-3.646522742,-0.058866862,1,1,0,0
-5.210920422,-3.763585656,-0.117362229,1,1,0,0
-5.972133207,-3.681080029,-0.252341172,1,1,0,0
-5.451490134,-3.640462394,-0.296871063,1,1,0,0
-5.988585795,-3.686895428,-0.510142932,1,1,0,0
-8.184678174,-5.022634971,0.708395109,1,1,0,0
-5.782493682,-4.156506065,0.389418869,1,1,0,0
-5.964070362,-3.657351427,0.260083717,1,1,0,0
-5.577817849,-3.705459307,0.184709564,1,1,0,0
-5.294110749,-3.802089955,0.117753843,1,1,0,0
-6.087198154,-3.729787677,0.004859363,1,1,0,0
-5.558832324,-3.691168835,-0.059862629,1,1,0,0
-5.229753214,-3.752827307,-0.117526529,1,1,0,0
-5.981693884,-3.661696986,-0.252269288,1,1,0,0
-5.460968612,-3.622615856,-0.296780583,1,1,0,0
-6.015185498,-3.677870545,-0.511445293,1,1,0,0
-5.464048767,-3.620952212,-0.538337522,1,1,0,0
-5.821220369,-4.157315897,0.391166149,1,1,0,0
-5.368970931,-4.133936819,0.30627798,1,1,0,0
-5.999160851,-3.653590819,0.261123907,1,1,0,0
-5.605846528,-3.699340959,0.185261026,1,1,0,0
-5.296797409,-3.779441913,0.117555143,1,1,0,0
-5.139348116,-3.956277111,0.056260714,1,1,0,0
-6.090069689,-3.705896552,0.004852556,1,1,0,0
-5.628561364,-3.712638796,-0.06049059,1,1,0,0
-5.24531271,-3.739667002,-0.117617799,1,1,0,0
-6.041573528,-3.672919042,-0.254318198,1,1,0,0
-5.478729976,-3.61024204,-0.297142502,1,1,0,0
-5.296086265,-3.772242389,-0.357495124,1,1,0,0
-6.039228172,-3.667163877,-0.512530515,1,1,0,0
-5.480126714,-3.607459674,-0.538828663,1,1,0,0
-7.584866666,-4.979170078,0.913139856,1,1,0,0
-6.309321607,-3.818704948,0.544042156,1,1,0,0
-5.821732562,-4.130769928,0.390347122,1,1,0,0
-5.391149574,-4.124729959,0.306819817,1,1,0,0
-6.031718633,-3.648097639,0.262052637,1,1,0,0
-5.614661756,-3.680481106,0.185178296,1,1,0,0
-5.309998996,-3.764330155,0.117591271,1,1,0,0
-5.149873102,-3.939276253,0.056243369,1,1,0,0
-6.062040999,-3.663403313,0.004821245,1,1,0,0
-5.636579314,-3.693160907,-0.060454707,1,1,0,0
-5.278790038,-3.7391611,-0.118110692,1,1,0,0
-5.063091654,-3.86799446,-0.177750123,1,1,0,0
-6.061368587,-3.659531786,-0.254677673,1,1,0,0
-5.494795454,-3.596699317,-0.297413942,1,1,0,0
-5.324750448,-3.76808878,-0.358647967,1,1,0,0
-6.051304863,-3.649133489,-0.512602875,1,1,0,0
-5.471982986,-3.578084703,-0.536946051,1,1,0,0
-6.307331238,-3.791109751,0.542865024,1,1,0,0
-5.838458377,-4.115766607,0.390620111,1,1,0,0
-5.390259002,-4.097892423,0.306052198,1,1,0,0
-6.103705379,-3.666107779,0.264690262,1,1,0,0
-5.644356003,-3.675238112,0.185784907,1,1,0,0
-5.31825312,-3.745718749,0.117519015,1,1,0,0
-5.230399378,-3.975496529,0.056989347,1,1,0,0
-6.052673108,-3.632438103,0.004804908,1,1,0,0
-5.65794035,-3.682396322,-0.060562357,1,1,0,0
-5.329484245,-3.750568363,-0.118986939,1,1,0,0
-5.137037899,-3.899586119,-0.17992529,1,1,0,0
-6.130850331,-3.675863185,-0.257122,1,1,0,0
-5.52757907,-3.593982524,-0.29859021,1,1,0,0
-5.331384952,-3.748289526,-0.358318592,1,1,0,0
-5.537262393,-3.596567306,-0.54226642,1,1,0,0
-6.352329613,-3.791676084,0.545734213,1,1,0,0
-5.809346503,-4.068621948,0.387835442,1,1,0,0
-5.402008603,-4.0807341,0.306007048,1,1,0,0
-6.165559594,-3.677567374,0.266882074,1,1,0,0
-5.669034628,-3.666590079,0.18622607,1,1,0,0
-5.344465606,-3.73970286,0.117844159,1,1,0,0
-6.068083839,-3.616411262,0.004808312,1,1,0,0
-5.674250001,-3.668277961,-0.060616184,1,1,0,0
-5.351618489,-3.74164792,-0.119224256,1,1,0,0
-5.153765764,-3.887419284,-0.1800926,1,1,0,0
-6.15841405,-3.666750567,-0.25780498,1,1,0,0
-5.552845575,-3.586220849,-0.299359289,1,1,0,0
-5.306023403,-3.706185836,-0.355848188,1,1,0,0
-5.551620582,-3.581723579,-0.542593829,1,1,0,0
-6.366505965,-3.773695128,0.545954928,1,1,0,0
-5.834915654,-4.059904497,0.388709067,1,1,0,0
-5.408910363,-4.059943615,0.305690964,1,1,0,0
-6.195729188,-3.669838578,0.267699373,1,1,0,0
-5.698759375,-3.661067049,0.186832667,1,1,0,0
-5.37233245,-3.734702956,0.118205422,1,1,0,0
-6.095501116,-3.607454725,0.004821245,1,1,0,0
-5.706512948,-3.664359911,-0.060840454,1,1,0,0
-5.361430034,-3.724070828,-0.11918774,1,1,0,0
-5.167267524,-3.872788525,-0.180148375,1,1,0,0
-6.188559627,-3.659029124,-0.258595785,1,1,0,0
-5.59577341,-3.589665131,-0.301078465,1,1,0,0
-5.347720623,-3.710951989,-0.357879395,1,1,0,0
-5.576848027,-3.573815971,-0.543985299,1,1,0,0
-7.770319559,-4.96554769,0.928060149,1,1,0,0
-6.380632027,-3.755662682,0.546175644,1,1,0,0
-5.80873912,-4.015298697,0.386142789,1,1,0,0
-6.224185771,-3.660945821,0.268442345,1,1,0,0
-5.720919335,-3.650556588,0.187191114,1,1,0,0
-5.378829082,-3.714794124,0.118097039,1,1,0,0
-6.122058912,-3.597857092,0.004833497,1,1,0,0
-5.700023577,-3.635543375,-0.060652066,1,1,0,0
-5.369538524,-3.705333205,-0.119114724,1,1,0,0
-5.179124846,-3.856917407,-0.180148375,1,1,0,0
-6.171316911,-3.623328309,-0.257409563,1,1,0,0
-5.654781853,-3.603078701,-0.3036572,1,1,0,0
-5.364013114,-3.697928393,-0.3582088,1,1,0,0
-6.584344646,-3.852274205,0.843808572,1,1,0,0
-7.671271026,-4.869170283,0.914441621,1,1,0,0
-6.374043116,-3.725501638,0.544630692,1,1,0,0
-5.827615794,-4.001980897,0.386579602,1,1,0,0
-5.382352068,-3.988612906,0.302801123,1,1,0,0
-6.257823924,-3.654936742,0.269408238,1,1,0,0
-5.770086635,-3.65706878,0.188431875,1,1,0,0
-5.414933698,-3.715244412,0.118638935,1,1,0,0
-5.16469837,-3.826481829,0.055757614,1,1,0,0
-6.1848895,-3.60929918,0.004874338,1,1,0,0
-5.705237454,-3.614292862,-0.060589269,1,1,0,0
-5.367686571,-3.679796921,-0.118822639,1,1,0,0
-5.191737175,-3.841604323,-0.18017627,1,1,0,0
-6.186720641,-3.60689481,-0.257589301,1,1,0,0
-5.766261216,-3.649285833,-0.309040871,1,1,0,0
-5.413228081,-3.707408019,-0.3607341,1,1,0,0
-6.677778437,-3.879488112,0.854253094,1,1,0,0
-7.973184597,-5.02655302,0.948587989,1,1,0,0
-6.370779451,-3.697418647,0.543380008,1,1,0,0
-6.295677877,-3.967770572,0.477580781,1,1,0,0
-5.83079282,-3.977893564,0.385978966,1,1,0,0
-5.42995909,-3.998143207,0.304787894,1,1,0,0
-6.313094539,-3.661289183,0.271302861,1,1,0,0
-5.800736201,-3.651597381,0.189066053,1,1,0,0
-5.413913887,-3.690167074,0.118367987,1,1,0,0
-5.185271836,-3.817139782,0.05585303,1,1,0,0
-6.248712652,-3.620890752,0.004915859,1,1,0,0
-5.754384963,-3.620736614,-0.06099296,1,1,0,0
-5.38804066,-3.669502581,-0.119023447,1,1,0,0
-5.196250135,-3.820329222,-0.17992529,1,1,0,0
-6.262623821,-3.625448289,-0.260285249,1,1,0,0
-5.785887678,-3.636894483,-0.309493271,1,1,0,0
-5.403112795,-3.676179421,-0.359306748,1,1,0,0
-6.694814593,-3.861962521,0.854912739,1,1,0,0
-7.837617959,-4.907550237,0.930663681,1,1,0,0
-6.428753383,-3.704745101,0.547352717,1,1,0,0
-6.319664088,-3.955849925,0.478477414,1,1,0,0
-5.828091127,-3.94990269,0.384996145,1,1,0,0
-5.448649462,-3.986184242,0.305149128,1,1,0,0
-6.34161724,-3.651877381,0.272045862,1,1,0,0
-5.814454475,-3.635373577,0.189148769,1,1,0,0
-5.435144468,-3.680267298,0.118584746,1,1,0,0
-5.245384819,-3.836634109,0.056373479,1,1,0,0
-6.313531705,-3.632622988,0.004958061,1,1,0,0
-5.810409657,-3.631152219,-0.061468419,1,1,0,0
-5.416663792,-3.6647208,-0.119406802,1,1,0,0
-5.203103118,-3.800831651,-0.179757965,1,1,0,0
-6.372488568,-3.662992986,-0.264383098,1,1,0,0
-5.83006625,-3.639758856,-0.311257657,1,1,0,0
-5.440010526,-3.676919019,-0.361008579,1,1,0,0
-6.717843901,-3.847827228,0.856341999,1,1,0,0
-7.857706461,-4.886634084,0.931264495,1,1,0,0
-6.315667833,-3.926432002,0.477260555,1,1,0,0
-5.855090878,-3.942041337,0.385978966,1,1,0,0
-5.459237126,-3.968274705,0.305058827,1,1,0,0
-6.370141638,-3.642324903,0.272788835,1,1,0,0
-5.88927109,-3.657068137,0.191216723,1,1,0,0
-5.476276058,-3.683664686,0.119235018,1,1,0,0
-5.267646659,-3.828165864,0.056486243,1,1,0,0
-6.348090469,-3.626629739,0.004976439,1,1,0,0
-5.967655204,-3.704010874,-0.063011404,1,1,0,0
-5.476840886,-3.680991214,-0.120483858,1,1,0,0
-5.213930248,-3.784263648,-0.17973007,1,1,0,0
-6.427093402,-3.668193568,-0.266180416,1,1,0,0
-6.030535592,-3.739249788,-0.321346399,1,1,0,0
-5.447120928,-3.657428879,-0.3607341,1,1,0,0
-6.756400722,-3.842431149,0.859750193,1,1,0,0
-8.091064911,-4.997399165,0.957099533,1,1,0,0
-6.411476613,-3.64256805,0.543968544,1,1,0,0
-5.867987436,-3.924614936,0.386033593,1,1,0,0
-6.393452572,-3.629671536,0.273308945,1,1,0,0
-5.944705952,-3.666268874,0.192650512,1,1,0,0
-5.280176917,-3.81257212,0.056494919,1,1,0,0
-6.398328386,-3.629339234,0.00500707,1,1,0,0
-6.116889179,-3.770690939,-0.064464685,1,1,0,0
-6.450489516,-3.655356101,-0.266683658,1,1,0,0
-6.035173882,-3.716540017,-0.320984479,1,1,0,0
-6.798449685,-3.838789337,0.863598208,1,1,0,0
-8.073281109,-4.952263063,0.953194236,1,1,0,0
-6.403511926,-3.612101295,0.54235004,1,1,0,0
-6.319223612,-3.875085215,0.4757235,1,1,0,0
-5.880832232,-3.907146171,0.386088191,1,1,0,0
-5.48429494,-3.935284816,0.305103977,1,1,0,0
-6.4472146,-3.634083676,0.27512927,1,1,0,0
-5.98576108,-3.666287427,0.193615556,1,1,0,0
-5.53376249,-3.673217472,0.119993674,1,1,0,0
-5.25934879,-3.773039355,0.056147953,1,1,0,0
-6.421631478,-3.616562467,0.005016599,1,1,0,0
-6.123311625,-3.748773974,-0.064410862,1,1,0,0
-5.521821127,-3.662237455,-0.120976744,1,1,0,0
-5.217550138,-3.738227868,-0.179060799,1,1,0,0
-6.512189282,-3.663971037,-0.26876851,1,1,0,0
-6.042286727,-3.695400971,-0.32075828,1,1,0,0
-5.462801036,-3.619525256,-0.360294903,1,1,0,0
-6.836204524,-3.832495563,0.866896491,1,1,0,0
-8.101182358,-4.935235826,0.954696273,1,1,0,0
-6.399771336,-3.58415436,0.541099356,1,1,0,0
-6.380517113,-3.885786298,0.479438091,1,1,0,0
-5.9069586,-3.89843577,0.387016414,1,1,0,0
-5.509357561,-3.927719403,0.305826445,1,1,0,0
-6.468798024,-3.620143047,0.275575054,1,1,0,0
-6.026871774,-3.66608856,0.1945806,1,1,0,0
-5.539162475,-3.652370038,0.11986723,1,1,0,0
-5.287999864,-3.769074459,0.056330109,1,1,0,0
-6.438806534,-3.600260423,0.005021364,1,1,0,0
-6.120258616,-3.721139033,-0.064258356,1,1,0,0
-5.545554695,-3.653530629,-0.121250575,1,1,0,0
